epoch,train_loss,train_anchor_exact,train_anchor_within_1,train_local_capture,train_full_raw_mse,val_loss,val_anchor_exact,val_anchor_within_1,val_local_capture,val_full_raw_mse,replay_ai_vs_zero_db,replay_ai_to_h5_gap_db,lr,seconds
11,3.3521316719055174,0.491875,0.59,0.658521831035614,1.7653948816587217e-05,5.204742641448974,0.095,0.27,0.5912339091300964,2.6591508285491726e-05,,,0.0008,2.4655630588531494
12,3.210489330291748,0.519375,0.606875,0.6622592210769653,1.6941008652793244e-05,5.31643648147583,0.0925,0.2675,0.5904504060745239,2.5886532239383086e-05,,,0.0008,2.1545140743255615
13,3.1108011054992675,0.5485416666666667,0.6308333333333334,0.6704239845275879,1.6482648788951337e-05,5.379111347198486,0.0925,0.2758333333333333,0.5920895338058472,2.5973087758757174e-05,,,0.0008,2.0288736820220947
14,3.0003156280517578,0.5833333333333334,0.6622916666666666,0.6772353053092957,1.5430145140271634e-05,5.455567569732666,0.1,0.27666666666666667,0.5840586423873901,2.5144391183857806e-05,,,0.0008,2.0410025119781494
15,2.8849815845489504,0.6070833333333333,0.6825,0.682163417339325,1.4711149560753256e-05,5.589806442260742,0.0875,0.24416666666666667,0.578431248664856,2.6135483203688636e-05,3.433433524959394,22.98308386572255,0.0008,9.652869939804077
16,2.806010408401489,0.638125,0.711875,0.6921300888061523,1.4075867511564866e-05,5.6223978996276855,0.08916666666666667,0.25083333333333335,0.5665969252586365,2.5572030936018563e-05,,,0.0008,2.608023166656494
17,2.7252176284790037,0.648125,0.72,0.6937021613121033,1.376653654006077e-05,5.688493003845215,0.08916666666666667,0.25166666666666665,0.5736469626426697,2.6424291500006804e-05,,,0.0008,2.1627111434936523
18,2.6426757621765136,0.6752083333333333,0.739375,0.6982850432395935,1.3357951502257492e-05,5.722076892852783,0.09333333333333334,0.25416666666666665,0.565294086933136,2.5477275921730326e-05,,,0.0008,2.0970370769500732
19,2.5620432090759278,0.694375,0.7554166666666666,0.6996588110923767,1.309302660956746e-05,5.804548721313477,0.09333333333333334,0.25416666666666665,0.5727328658103943,2.572210971266031e-05,,,0.0008,2.0790212154388428
20,2.482453031539917,0.7185416666666666,0.7785416666666667,0.7053543329238892,1.224804509547539e-05,5.829001808166504,0.09166666666666666,0.23333333333333334,0.5649007558822632,2.564649264968466e-05,5.529094722610221,20.88742266807172,0.0008,9.597100734710693
21,2.4372523117065428,0.73375,0.7860416666666666,0.7086519598960876,1.2189787412353326e-05,5.8557271385192875,0.08416666666666667,0.23333333333333334,0.5665168166160583,2.6172167272306977e-05,,,0.0008,2.479783773422241
22,2.360333204269409,0.7535416666666667,0.8027083333333334,0.7146818041801453,1.1545732377271634e-05,5.86076135635376,0.09416666666666666,0.25916666666666666,0.5675941705703735,2.538157168601174e-05,,,0.0008,2.1312856674194336
23,2.2915103912353514,0.7622916666666667,0.813125,0.7149385213851929,1.1311532944091596e-05,5.901333236694336,0.10083333333333333,0.2625,0.5633100271224976,2.4820936960168184e-05,,,0.0008,2.1986451148986816
24,2.2186197948455813,0.7822916666666667,0.8320833333333333,0.7186539173126221,1.0897317224589642e-05,5.968395462036133,0.09,0.245,0.560740053653717,2.5615359409130178e-05,,,0.0008,2.056438684463501
25,2.197946615219116,0.7745833333333333,0.8191666666666667,0.7158154249191284,1.1142504263261799e-05,5.980168380737305,0.09166666666666666,0.24833333333333332,0.5619013905525208,2.541250243666582e-05,7.296772834317438,19.119744556364502,0.0008,9.592034101486206
26,2.1110319805145266,0.80625,0.8516666666666667,0.7253783941268921,1.0426962035126053e-05,6.0431020545959475,0.09,0.24916666666666668,0.5539770722389221,2.5756016111699864e-05,,,0.0008,2.5221426486968994
27,2.0640964698791504,0.8229166666666666,0.8620833333333333,0.7271248698234558,1.006768252409529e-05,6.041917610168457,0.09583333333333334,0.25083333333333335,0.5707442760467529,2.476960034982767e-05,,,0.0008,2.1483497619628906
28,2.019884557723999,0.820625,0.8627083333333333,0.7285959124565125,9.991074875870254e-06,6.217598094940185,0.0975,0.245,0.5520327091217041,2.584682843007613e-05,,,0.0008,2.0677828788757324
